etf_id	name	region	currency
N/A	N/A	TW	TWD
N/A	N/A	TW	TWD
0050.TW	元大台灣50	TW	TWD
0051.TW	元大中型100	TW	TWD
0052.TW	富邦科技	TW	TWD
0053.TW	元大電子	TW	TWD
0055.TW	元大MSCI金融	TW	TWD
0056.TW	元大高股息	TW	TWD
0057.TW	富邦摩台	TW	TWD
006201.TWO	元大富櫃50	TW	TWD
006203.TW	元大MSCI台灣	TW	TWD
006204.TW	永豐臺灣加權	TW	TWD
006208.TW	富邦台50	TW	TWD
00631L.TW	元大台灣50正2	TW	TWD
00632R.TW	元大台灣50反1	TW	TWD
00663L.TW	國泰臺灣加權正2	TW	TWD
00664R.TW	國泰臺灣加權反1	TW	TWD
00675L.TW	富邦臺灣加權正2	TW	TWD
00676R.TW	富邦臺灣加權反1	TW	TWD
00685L.TW	群益臺灣加權正2	TW	TWD
00686R.TW	群益臺灣加權反1	TW	TWD
00690.TW	兆豐藍籌30	TW	TWD
00692.TW	富邦公司治理	TW	TWD
00701.TW	國泰股利精選30	TW	TWD
00713.TW	元大台灣高息低波	TW	TWD
00728.TW	第一金工業30	TW	TWD
00730.TW	富邦臺灣優質高息	TW	TWD
00731.TW	復華富時高息低波	TW	TWD
00733.TW	富邦臺灣中小	TW	TWD
00735.TW	國泰臺韓科技	TW	TWD
00850.TW	元大臺灣ESG永續	TW	TWD
00878.TW	國泰永續高股息	TW	TWD
00881.TW	國泰台灣科技龍頭	TW	TWD
00888.TWO	永豐台灣ESG	TW	TWD
00891.TW	中信關鍵半導體	TW	TWD
00892.TW	富邦台灣半導體	TW	TWD
00894.TW	中信小資高價30	TW	TWD
00896.TW	中信綠能及電動車	TW	TWD
00900.TW	富邦特選高股息30	TW	TWD
00901.TW	永豐智能車供應鏈	TW	TWD
00904.TW	新光臺灣半導體30	TW	TWD
00905.TW	FT臺灣Smart	TW	TWD
00907.TW	永豐優息存股	TW	TWD
00912.TW	中信臺灣智慧50	TW	TWD
00913.TW	兆豐台灣晶圓製造	TW	TWD
00915.TW	凱基優選高股息30	TW	TWD
00918.TW	大華優利高填息30	TW	TWD
00919.TW	群益台灣精選高息	TW	TWD
00921.TW	兆豐龍頭等權重	TW	TWD
00922.TW	國泰台灣領袖50	TW	TWD
00923.TW	群益台ESG低碳50	TW	TWD
00927.TW	群益半導體收益	TW	TWD
00928.TWO	中信上櫃ESG30	TW	TWD
00929.TW	復華台灣科技優息	TW	TWD
00930.TW	永豐ESG低碳高息	TW	TWD
00932.TW	兆豐永續高息等權	TW	TWD
00934.TW	中信成長高股息	TW	TWD
00935.TW	野村臺灣新科技50	TW	TWD
00936.TW	台新永續高息中小	TW	TWD
00938.TW	凱基優選30	TW	TWD
00939.TW	統一台灣高息動能	TW	TWD
00940.TW	元大台灣價值高息	TW	TWD
00943.TW	兆豐電子高息等權	TW	TWD
00944.TW	野村趨勢動能高息	TW	TWD
00946.TW	群益科技高息成長	TW	TWD
00947.TW	台新臺灣IC設計	TW	TWD
00952.TW	凱基台灣AI50	TW	TWD
00961.TW	FT臺灣永續高息	TW	TWD
00962.TW	台新AI優息動能	TW	TWD
009802.TW	富邦旗艦50	TW	TWD
009803.TW	保德信市值動能50	TW	TWD
009804.TW	聯邦台精彩50	TW	TWD
009808.TW	華南永昌優選50	TW	TWD
00980A.TW	主動野村臺灣優選	TW	TWD
00981A.TW	主動統一台股增長	TW	TWD
00982A.TW	主動群益台灣強棒	TW	TWD
